大專校院校別學生數,,,,,,,,,,,,,,,,,,,,,,,,
107 學年度 SY2018-2019,,,,,,,,,,,,,,,,,,,,,,,,
學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0015,國立彰化師範大學,D 日,M 碩士,"1,525",751,774,311,279,251,238,120,148,69,109,-,-,-,-,-,-,-,-,07 彰化縣,3 師範
0015,國立彰化師範大學,D 日,B 學士,"4,924","2,587","2,337",621,569,618,575,593,594,620,545,-,-,-,-,-,-,135,54,07 彰化縣,3 師範
0015,國立彰化師範大學,N 職,M 碩士,"1,386",602,784,203,253,187,250,71,121,52,59,30,30,59,71,-,-,-,-,07 彰化縣,3 師範
0016,國立陽明大學,D 日,D 博士,852,495,357,98,70,71,54,94,51,77,51,61,45,42,39,52,47,-,-,30 臺北市,1 一般
0016,國立陽明大學,D 日,M 碩士,"1,257",517,740,250,304,188,296,59,99,19,40,1,1,-,-,-,-,-,-,30 臺北市,1 一般
0016,國立陽明大學,D 日,B 學士,"2,084","1,167",917,229,176,211,182,217,185,199,184,109,64,103,67,81,45,18,14,30 臺北市,1 一般
0016,國立陽明大學,N 職,M 碩士,141,44,97,17,32,14,34,10,21,1,7,2,3,-,-,-,-,-,-,30 臺北市,1 一般
0017,國立臺北大學,D 日,D 博士,197,126,71,23,14,22,14,25,11,14,13,13,7,14,3,15,9,-,-,01 新北市,1 一般
0017,國立臺北大學,D 日,M 碩士,"1,330",652,678,247,249,241,248,97,104,64,71,3,6,-,-,-,-,-,-,01 新北市,1 一般
0017,國立臺北大學,D 日,B 學士,"5,822","2,655","3,167",617,769,633,751,634,765,647,749,-,-,-,-,-,-,124,133,01 新北市,1 一般
0017,國立臺北大學,N 職,M 碩士,487,236,251,99,103,79,87,38,41,14,10,6,10,-,-,-,-,-,-,01 新北市,1 一般
0017,國立臺北大學,P 進,B 學士,"2,087",791,"1,296",214,335,181,289,165,292,174,299,6,24,-,-,-,-,51,57,01 新北市,1 一般
0018,國立嘉義大學,D 日,D 博士,193,109,84,27,12,17,13,21,11,20,18,9,13,6,2,9,15,-,-,20 嘉義市,1 一般
0018,國立嘉義大學,D 日,M 碩士,"1,306",619,687,235,241,175,213,139,122,70,111,-,-,-,-,-,-,-,-,20 嘉義市,1 一般
0018,國立嘉義大學,D 日,B 學士,"7,674","3,928","3,746",927,917,934,912,948,895,959,921,31,21,-,-,-,-,129,80,20 嘉義市,1 一般
0018,國立嘉義大學,N 職,M 碩士,965,396,569,139,170,138,195,62,117,57,87,-,-,-,-,-,-,-,-,20 嘉義市,1 一般
0018,國立嘉義大學,P 進,B 學士,"2,081","1,295",786,332,193,304,178,270,177,291,194,-,-,-,-,-,-,98,44,20 嘉義市,1 一般
0019,國立高雄大學,D 日,D 博士,24,21,3,6,1,4,1,6,-,2,-,-,-,3,1,-,-,-,-,50 高雄市,1 一般
0019,國立高雄大學,D 日,M 碩士,636,404,232,166,92,135,90,70,35,33,15,-,-,-,-,-,-,-,-,50 高雄市,1 一般
0019,國立高雄大學,D 日,B 學士,"4,277","2,465","1,812",634,451,559,438,586,427,564,437,-,-,-,-,-,-,122,59,50 高雄市,1 一般
0019,國立高雄大學,N 職,M 碩士,454,297,157,99,52,101,56,50,20,23,18,15,6,9,5,-,-,-,-,50 高雄市,1 一般
0019,國立高雄大學,N 修,C 二技,174,106,68,-,-,-,-,38,22,34,19,-,-,-,-,-,-,34,27,50 高雄市,2 技職
0020,國立東華大學,D 日,D 博士,375,231,144,46,43,39,17,43,25,26,21,33,11,25,13,19,14,-,-,15 花蓮縣,1 一般
0020,國立東華大學,D 日,M 碩士,"1,501",766,735,259,246,217,207,154,145,136,137,-,-,-,-,-,-,-,-,15 花蓮縣,1 一般
